img,mcc,f_0,f_1,f_2
18H007_73300_8775_25_0023,0.8308436321030862,0.9960702164960896,0.8280060882800608,
18H007_73300_8775_25_0033,0.903603671637361,0.9989731108676405,0.9046989998112851,0.0
18H007_73300_8775_25_0024,0.6835892105351635,0.9981683471896897,0.6522234891676169,0.0
18H007_73300_8775_25_0034,0.848505471502568,0.9955030395168085,0.8554625337300215,0.0
18H007_73300_8775_25_0021,0.7320922137565362,0.9992479891229147,0.7195213163799551,
18H007_73300_8775_25_0031,0.8473056099514887,0.9979690698664289,0.8528564934080921,0.0
18H007_73300_8775_25_0022,0.8585283505647369,0.9974200721239506,0.8576564430962813,
18H007_73300_8775_25_0002,0.7876486347206648,0.9952867403292333,0.785328616644945,
18H007_73300_8775_25_0012,0.765900586924678,0.9976745031067185,0.7507572479446127,
18H007_73300_8775_25_0003,0.8656959333221484,0.999461849550805,0.8658658658658659,
18H007_73300_8775_25_0013,0.9442620928703549,0.9992766353208639,0.9448478294453886,
18H007_73325_8775_25_0091,0.9094495158665056,0.9995517975330775,0.9092389092389093,
18H007_73325_8775_25_0092,0.8641467934951902,0.9987193985826393,0.8648648648648649,0.0
18H007_73325_8775_25_0083,0.8804582113198882,0.999677014895431,0.8795741849634066,0.0
18H007_73325_8775_25_0093,0.8429076893180306,0.9966488524208519,0.8409421343413783,
18H007_73325_8775_25_0084,0.7706845994148758,0.996537810962448,0.7738853503184714,0.0
18H007_73325_8775_25_0094,0.7245418692735851,0.9938724135813839,0.714759982054733,0.0
18H007_73325_8775_25_0071,0.2749530161386766,0.9976250658029568,0.0,0.08760024676125848
18H007_73325_8775_25_0062,0.008839134235677186,0.999413654055893,0.0,0.0
18H007_73325_8775_25_0063,0.6882738709119574,0.9993145028742775,0.7492507492507493,0.0
18H007_73325_8775_25_0073,0.46437992680545903,0.9980497122723662,0.6385281385281385,0.0
18H007_73325_8775_25_0064,0.8102622661172867,0.9981651672442992,0.8069328652917946,0.0
18H007_73325_8775_25_0074,0.6854351889764039,0.9949621092997069,0.6519971969166083,
18H007_73325_8775_25_0085,0.8077742913462089,0.9923932708103724,0.80858189429618,
18H007_73325_8775_25_0095,0.7368924826270604,0.9896426441082371,0.7320784941930316,0.0
18H007_73325_8775_25_0086,0.8890996954693824,0.9972057856673241,0.8911446102567987,0.0
18H007_73325_8775_25_0096,0.8921750711695056,0.9968253313392811,0.8972036755470351,0.0
18H005_73075_8175_25_0045,0.9360320520469464,0.9998174812818029,0.9359605911330049,
18H005_73075_8175_25_0055,0.9232002869918147,0.9989065229254873,0.923837784371909,
18H005_73075_8175_25_0057,-0.00016478373457827622,0.9980502057002928,0.0,0.0
18H005_73075_8175_25_0065,0.9042131839893649,0.9982874097122808,0.905833613257194,
18H005_73075_8175_25_0075,0.7453451644617467,0.9985465883394162,0.698068940624436,0.2652054794520548
18H005_73075_8175_25_0066,0.8149537810552696,0.9988590194811859,0.8146453089244852,
18H005_73075_8175_25_0076,0.8623886682323335,0.997681277331435,0.8634730538922155,
18H005_73075_8175_25_0067,0.8572945619693397,0.9988610501319367,0.856197505726648,
