img,mcc,f_0,f_1,f_2
18H007_73325_8825_25_0021,0.9016369501312689,0.998371053974852,0.9031556039173014,
18H007_73325_8825_25_0031,0.7911416615595327,0.9984098993339312,0.7926412614980289,
18H007_73325_8825_25_0022,0.7708803307668385,0.9986967644361495,0.7665706051873199,
18H007_73325_8825_25_0042,0.882961372888374,0.9994615230058268,0.8834782608695653,
18H007_73325_8825_25_0052,0.9098634809147934,0.9988924008982284,0.9108975403160123,
18H007_73325_8825_25_0071,0.7129782656493192,0.996884470673387,0.7136220033451032,
18H007_73325_8825_25_0062,0.791531271685376,0.9958993483840168,0.7956070774862721,
18H007_73325_8825_25_0072,0.8842713262251473,0.9953953695569813,0.8872234118486795,
18H007_73325_8825_25_0081,0.8711648342066954,0.9991118844362279,0.8719140284635493,
18H007_73325_8825_25_0082,0.9238267612204758,0.9979891508629809,0.9255003424396926,
18H007_73325_8825_25_0092,0.8792615846138804,0.9983475033902571,0.8870281400137269,0.0
18H007_73325_8825_25_0083,0.7855655433752124,0.9990963456216941,0.7774480712166172,
18H007_73325_8825_25_0084,0.9105193885868315,0.9989025540927443,0.9115246490368919,
18H007_73325_8825_25_0073,0.900154640204676,0.9978999064355202,0.9020765860163841,
18H007_73325_8825_25_0064,0.9090484964863357,0.9973109804721547,0.9111821956033486,
18H007_73325_8825_25_0074,0.8821744714357401,0.9985543398151823,0.8831041257367387,
18H007_73325_8825_25_0043,0.8432394631674204,0.9986422938576406,0.8438877290651821,
18H007_73325_8825_25_0053,0.8972916335421051,0.997517398726282,0.8991951549924296,0.0
18H007_73325_8825_25_0044,0.9315311885836512,0.999229361138361,0.9320249776984835,
18H007_73325_8825_25_0054,0.9027414373598761,0.9973522349768115,0.9049586776859504,
18H007_73325_8825_25_0023,0.6298678580209491,0.9975757405056542,0.5902754165249915,
18H007_73325_8825_25_0024,0.8010424816680323,0.9993841561635537,0.7949231796927188,
18H007_73325_8825_25_0034,0.6844253226681845,0.9988076503083247,0.6743421052631579,
18H007_73325_8825_25_0003,0.8561394234767861,0.9996029215348887,0.8541973490427098,
18H007_73325_8825_25_0004,0.7597343852812937,0.996979463591604,0.7533068783068783,
18H007_73325_8825_25_0014,0.7169968192914019,0.9992883446897484,0.6947549441100602,
18H005_73075_8200_25_0045,0.9217572105589639,0.999630253316668,0.9220999153259949,
18H005_73075_8200_25_0046,0.8220443078092414,0.9950518374039943,0.8266762280387235,0.0
18H005_73075_8200_25_0047,0.8766975474519916,0.997374416395084,0.8786017949929145,
18H005_73075_8200_25_0057,0.6859791294772837,0.9994491020363192,0.6625766871165644,
18H005_73075_8200_25_0048,0.875430966320598,0.9967365029030543,0.8786930300022903,
18H005_73075_8200_25_0058,0.893824245092556,0.9992243642304988,0.8940269749518305,
18H005_73075_8200_25_0044,0.9162893172137511,0.9997110035402066,0.9164733178654292,
18H005_73075_8200_25_0054,0.8715614964321636,0.9994315317106878,0.8696453247351451,
18H005_73075_8200_25_0051,0.3502490225667667,0.9994229035166817,0.0,0.0
18H005_73075_8200_25_0052,0.5076872075078863,0.9986005242992538,0.0,0.2836984775343483
18H005_73075_8200_25_0063,0.5012228972107431,0.9987952583949135,0.0,0.2518201284796574
18H005_73075_8200_25_0073,,0.9994216657227878,,0.0
18H005_73075_8200_25_0074,0.5436567347931519,0.997358335973652,0.0,0.44973396807616917
18H005_73075_8200_25_0071,0.8208676217192313,0.9985202806225304,0.8146464646464646,
18H005_73075_8200_25_0062,0.5867216473350012,0.9994509590182987,0.0,0.556135770234987
18H005_73075_8175_25_0069,0.9408519876209799,0.9998837717276732,0.9409368635437881,
18H005_73075_8175_25_0079,-0.000322014797896534,0.9985438828055994,,0.0
18H005_73075_8175_25_0070,0.9082774471824306,0.9991358842246378,0.9088586030664395,
18H005_73075_8175_25_0089,0.3899770467179233,0.9970980614247013,,0.2975206611570248
18H005_73075_8175_25_0099,0.9385140891364829,0.9995121341510126,0.93891973750631,
18H005_73075_8175_25_0100,0.39023584602490907,0.9934172294047968,0.4072888451120414,0.05978784956605593
18G001_72525_7725_25_0089,0.7104689742278288,0.9986113539399566,0.7112411199331383,
18G001_72525_7725_25_0099,0.8242736101487955,0.9977573796794694,0.8265162200282088,
18G001_72525_7725_25_0090,0.5594918711460442,0.9982410556878557,0.5562310030395137,
18G001_72525_7725_25_0100,0.8702509397750365,0.9993083147007255,0.8708708708708709,
18G001_72525_7725_25_0069,0.8209215676896062,0.997623779224173,0.8155370341248624,
18G001_72525_7725_25_0079,0.8283846791026684,0.9982482902140641,0.828486646884273,
18G001_72525_7725_25_0070,0.9251086016812807,0.9986517696033107,0.9263298464277765,
18G001_72525_7725_25_0080,0.8089273095487827,0.9962229672956283,0.8084402151427389,
18G001_72525_7725_25_0049,0.8398619330968968,0.9963854608384013,0.8413966430302486,
18G001_72525_7725_25_0059,0.8444906949697594,0.9953919139109817,0.8432007719346613,0.0
18G001_72525_7725_25_0050,0.8427387380556035,0.9959368612869068,0.8439962180901355,
18G001_72525_7725_25_0060,0.9390457187870154,0.9985831517911254,0.940303657694962,
18G001_72525_7725_25_0029,0.7298650455988891,0.9969630675040135,0.7229804500184434,
18G001_72525_7725_25_0039,0.8926304876644034,0.9979386319938179,0.8941250392711279,
18G001_72525_7725_25_0030,0.8529899627170416,0.9974353233324513,0.8553386911595867,
18G001_72525_7725_25_0040,0.8328673467414257,0.9975715598619623,0.8311944718657454,
18G001_72525_7725_25_0009,0.9188544239204636,0.9972472317085791,0.9210682492581602,
18G001_72525_7725_25_0019,0.893639547031678,0.9978194558439808,0.8954376346191502,
18G001_72525_7725_25_0010,0.858008094415489,0.9968564657342486,0.8604712734974848,0.0
18G001_72525_7725_25_0020,0.8984032749163736,0.9983347058285296,0.9000610128126907,
18G001_72525_7725_25_0067,0.8096999684063463,0.9950053067332899,0.8111464720950089,
18G001_72525_7725_25_0077,0.8532669273769418,0.9964039986550873,0.8566525008172605,
18G001_72525_7725_25_0068,0.6732971807960201,0.9956280187851284,0.6747096968782988,
18G001_72525_7725_25_0078,0.8064401878250289,0.9997015481438899,0.8031704095112285,
18G001_72525_7725_25_0047,0.8446646673405924,0.9955273486567632,0.8489778890279516,
18G001_72525_7725_25_0057,0.8666591591615217,0.9972186939705696,0.8677926616191031,
18G001_72525_7725_25_0048,0.9156633079939839,0.9975680022404857,0.9179348203738448,
18G001_72525_7725_25_0058,0.8677405477709152,0.9977025154301832,0.8682188591385331,0.0
18G001_72525_7725_25_0027,0.8200218448377363,0.9933001837414747,0.8240937585173072,
18G001_72525_7725_25_0037,0.7994816437417381,0.9921351514861716,0.8008842570661614,
18G001_72525_7725_25_0028,0.8576266074858835,0.9955936408084586,0.8620177082660118,
18G001_72525_7725_25_0038,0.8175879012339575,0.9952155467022986,0.8178479331093225,
18G001_72525_7725_25_0087,0.7069359664738486,0.9988175326383075,0.6881948120698782,
18G001_72525_7725_25_0097,0.8541014228642287,0.9978692749447026,0.8543689320388349,
18G001_72525_7725_25_0088,0.8313599536406754,0.9968699054450603,0.8344827586206897,
18G001_72525_7725_25_0098,0.8452711311453477,0.995405831915253,0.8472811943569374,
18G001_72525_7725_25_0007,0.9158880196584499,0.9981683334287327,0.9172515700036942,
18G001_72525_7725_25_0017,0.7390437602282467,0.9973654756084256,0.7479446561058752,0.0
18G001_72525_7725_25_0008,0.9173068800226597,0.9975068412358974,0.9197903536124196,
18G001_72525_7725_25_0018,0.8881407668824174,0.9976737869074437,0.8900897423526006,
18G001_72525_7725_25_0095,0.6336102223520905,0.9990898557000293,0.6146010186757216,
18G001_72525_7725_25_0086,0.8923859644633477,0.9995279313953745,0.8927430397078959,
18G001_72525_7725_25_0096,0.8381352815811544,0.9990180730891662,0.8383035122597747,
18E024_69000_6100_25_0063,0.8608181294757917,0.9981331371201664,0.8616909445862743,
18E024_69000_6100_25_0064,0.8470034145859651,0.9989286678024399,0.8445353594389247,
18E024_69000_6100_25_0065,0.7592012714239308,0.9956570673582736,0.8147211040828062,0.0
18E024_69000_6100_25_0075,0.7662863887256534,0.997668752802951,0.7688603531300161,0.0
18E024_69000_6100_25_0066,0.7528198464868113,0.9976629195341985,0.7432372505543238,
18E024_69000_6100_25_0076,0.6525107064175295,0.9983185782041933,0.6207521522428636,
18E024_69000_6100_25_0085,0.9315886474177392,0.9992518299834189,0.9322344322344323,
18E024_69000_6100_25_0095,0.3399752691729984,0.9983184182308317,0.21220657276995306,
18E024_69000_6100_25_0096,0.8372866462147096,0.9983799681649604,0.8379143088116411,
18E023_68975_6100_25_0005,0.4336364643176909,0.9973734939759036,0.022242817423540315,0.6862106406080347
18E023_68975_6100_25_0015,0.7649024612410781,0.9942972861173595,0.7760499571446063,0.6600270087778528
18E023_68975_6100_25_0006,0.7475023659094424,0.9973270898033126,0.7527251864601262,0.0
18E023_68975_6100_25_0016,0.7317002407651773,0.9952911220921454,0.738998701486077,0.6270897304674172
18E023_68975_6100_25_0007,0.60273787637248,0.994413135330568,0.238230289279637,0.6516962843295638
