img,mcc,f_0,f_1,f_2
18H007_73325_8775_25_0011,0.6582771361219647,0.9981666720272748,0.6415094339622641,
18H007_73325_8775_25_0006,0.7548424960483178,0.9965199174217694,0.7476423990946812,0.0
18H007_73325_8775_25_0001,0.7596319649231025,0.9969582457462018,0.7579761521108604,
18H007_73325_8775_25_0002,0.6402251517115017,0.9990395046330366,0.6312548113933796,
18H007_73325_8775_25_0007,0.7146024071261239,0.9934322419816659,0.7167518055310904,0.0
18H007_73325_8775_25_0012,0.6272928180581264,0.9956549179531994,0.6196883852691218,
18H007_73325_8775_25_0003,0.78979127781412,0.9974760058501566,0.7903923138510809,0.0
18H007_73325_8775_25_0008,0.7399623107935396,0.9957557697545746,0.7402338890271212,
18H007_73325_8775_25_0013,0.5138261274717697,0.9934724789984107,0.5196897374701671,
18H005_73050_8200_25_0015,0.7271615950141933,0.9956221825675879,0.7298720842738902,
18H005_73050_8200_25_0020,0.6894346345577242,0.9962208084271721,0.6831151393084928,0.0
18H005_73050_8200_25_0025,0.6787851737647617,0.9964426532571131,0.6689272503082614,0.0
18H005_73050_8200_25_0024,0.5894075173416489,0.9912340402919397,0.5961307246693628,0.2544529262086514
18H005_73050_8200_25_0019,0.6295830663403734,0.9970915643272201,0.6258750324086078,
18H005_73050_8200_25_0014,0.6903165407708163,0.9948528425238148,0.6865560782371875,
18H005_73050_8200_25_0018,0.608306073386741,0.9940536773952384,0.6365629110039457,0.004347826086956522
18H005_73050_8200_25_0023,0.6911557284786106,0.997577238132095,0.6895661157024794,
18G001_72525_7700_25_0001,0.7231764624215652,0.9933089463383644,0.728707935189032,
18G001_72525_7700_25_0006,0.7342538759352729,0.99520050173796,0.7353766700348041,
18G001_72525_7700_25_0011,0.7186858459972358,0.9957179490823741,0.7180104292017649,
18G001_72525_7700_25_0016,0.8315677397610642,0.9974907832978741,0.8333333333333334,
18G001_72525_7700_25_0007,0.6250683003542055,0.9995254257651759,0.6082644628099173,
18G001_72525_7700_25_0012,0.758525699240064,0.9989853916488691,0.7645454545454545,0.0
18G001_72525_7700_25_0017,0.7991841969041301,0.995445356555331,0.8024494142705005,
18G001_72525_7700_25_0002,0.6716739978148889,0.9881327227990606,0.6743643706273819,
18G001_72525_7700_25_0008,0.6934393178414244,0.9961747427722079,0.6941881172090011,
18G001_72525_7700_25_0003,0.657431458449879,0.9907801534997617,0.6606170598911071,
18G001_72525_7700_25_0013,0.7596701182777317,0.998166261632148,0.7570742124933262,
18E023_68900_6125_25_0024,0.6954680776034833,0.99542007048544,0.7006291861173127,0.6773804740859783
18E023_68900_6125_25_0023,0.6314591918700839,0.9986934820609669,0.587737843551797,0.6666666666666666
18E023_68900_6125_25_0018,0.6787735266217682,0.9970897260467501,0.7221499783268314,0.6343452650657
18E023_68900_6125_25_0019,0.6650617143317765,0.998646722216645,0.644718792866941,0.6829268292682927
18E023_68900_6125_25_0014,0.569194316256456,0.9894358917675282,0.5496116589580242,
18E023_68900_6125_25_0013,0.48282760888800913,0.9964985007948806,0.43322475570032576,
18E023_68900_6125_25_0008,0.5264559635062673,0.992275915268516,0.4454322501532802,0.6991869918699187
18E023_68900_6125_25_0003,0.3544066583416665,0.9805613598213313,0.28805779215892846,
18E023_68900_6125_25_0004,0.5588971590302154,0.9942013492391295,0.5298752462245568,
18E023_68900_6125_25_0012,0.6001840298823347,0.9992766966072864,0.5993340732519423,
18E023_68900_6125_25_0007,0.622354313616353,0.9940716842674121,0.6252247623940406,
18E023_68900_6125_25_0002,0.4933284377362436,0.9854436305104789,0.45157797029702973,
18E023_68925_6125_25_0022,0.5403522346728423,0.9970822366567664,0.5236530880420499,
18E023_68900_6125_25_0011,0.6088975648244674,0.9978987837074302,0.6084675908579993,
18E023_68900_6125_25_0006,0.7144602670307454,0.9985203710330464,0.7145073700543056,
18E023_68900_6125_25_0001,0.5224628232168996,0.9861090483027213,0.5337150606494387,0.09226037929267042
18E023_68925_6125_25_0021,0.6281127564011155,0.9912486082913092,0.6246488764044944,
18E023_68925_6125_25_0016,0.7350000422965473,0.997453785500106,0.7348054679284963,
18E023_68925_6125_25_0011,0.6905254361609414,0.9964077669902912,0.6967930029154519,0.0
18E023_68925_6125_25_0012,0.6405573422683232,0.9918532101059575,0.6411611712391979,0.0
18E023_68925_6125_25_0013,0.7119823363506648,0.993216728792037,0.7178875638841568,
18E023_68925_6125_25_0008,0.6058108754330135,0.9991883621147476,0.5986124876114965,
18E023_68925_6125_25_0007,0.599402678737961,0.9929228317639124,0.5869249394673124,0.4667328699106256
18E023_68925_6125_25_0006,0.6551953282475305,0.9943982373553827,0.6639624794016986,0.0
18E023_68950_6275_25_0020,0.6854783942241687,0.9950679829554695,0.728747127990269,0.0
19B027_65525_3925_25_0024,0.6081884603847668,0.9964931945231292,0.5853658536585366,0.029508196721311476
19B027_65525_3925_25_0023,0.4817881717918148,0.9930570455805969,0.43089430894308944,0.0
19B001_63700_3425_25_0023,0.48832426607978024,0.9939804333764554,0.4359848484848485,
19B001_63700_3425_25_0022,0.5262409404555117,0.9973745682913787,0.7676272225628449,0.0
19B001_63700_3425_25_0018,0.28836505543201385,0.996122496155663,0.22949461474730737,0.0
19B001_63700_3425_25_0013,0.4739893001572506,0.9924805929520012,0.4711085746896847,
19B001_63600_3400_25_0008,0.5565484870243701,0.9919487324597386,0.5491849994300695,
19B001_63625_3400_25_0004,0.6519449854618034,0.995814731578447,0.6336107667788207,
19B001_63625_3400_25_0009,0.4425133535585606,0.9969917952572045,0.36594663278271916,
19B001_63600_3400_25_0014,0.5085744157460151,0.9916280016280016,0.47875754075214993,0.0
19B001_63600_3425_25_0007,0.38229265085901565,0.9976309312046514,0.3885653785071466,0.0
19B001_63600_3425_25_0008,0.532985777040054,0.9918232987218825,0.4886912325285896,
19A029_63200_3675_25_0021,0.3833185307038486,0.9941508640217461,0.0,0.45253799827932323
19A029_63200_3675_25_0016,0.2589484291912382,0.9901678257441195,0.0,0.22765913331951068
19A029_63200_3675_25_0017,0.17441954224398218,0.9937343383699587,0.0,0.0
19A029_63200_3675_25_0018,0.11245711335361212,0.9909158395313697,0.0,0.0
19A029_63200_3675_25_0012,0.028907029519560878,0.9934626569888748,0.0,0.0
19A029_63200_3675_25_0007,0.1597988596011001,0.9948671461090631,0.0,0.0670995670995671
19A029_63200_3675_25_0002,-0.0018661084038755621,0.9962076725870338,0.0,0.0
19A029_63200_3675_25_0003,0.11740841738968051,0.9916382993767614,0.0,0.09963768115942029
19A029_63200_3675_25_0004,0.4495927148026923,0.9966878672727822,0.0,0.5064449064449065
19A029_63200_3675_25_0009,0.006362683367656478,0.9978111495073082,0.0,0.0
19A029_63200_3675_25_0014,0.1345333219647304,0.9968221700842065,0.0,0.0
19A029_63200_3675_25_0010,0.2932510901048813,0.9920015539606775,0.31733942625031736,0.20543478260869566
19A017_62375_5025_25_0012,0.42081933837322494,0.9979348090049552,0.5986394557823129,0.0
19A017_62375_5025_25_0013,0.6962174065209038,0.9990409771600084,0.6967005076142132,
19A017_62375_5025_25_0017,0.5036615970988539,0.9978209394663009,0.4781144781144781,
19A007_62050_3975_25_0022,0.5456654783160579,0.9935207637909518,0.5912233243162007,0.0
19A007_62050_3975_25_0023,0.6319605897249976,0.9952823213652707,0.6338832487309645,0.0
19A007_62050_3975_25_0024,0.6067585802008599,0.996139588909651,0.6033292732440114,0.0
19A007_62050_3975_25_0018,0.6460961059991217,0.9969221460266237,0.6366666666666667,
19A007_62050_3975_25_0025,0.3168759244505757,0.9979090161138202,0.2549019607843137,0.0
19A007_62050_3975_25_0019,0.7616502586655765,0.9958498623066135,0.7653894833736049,
19A006_61925_4150_25_0024,0.49029670258811975,0.997573459106358,0.4438305709023941,
19A006_61925_4150_25_0023,0.7133586015304872,0.9957182794345449,0.7165703534471173,
19A006_61925_4150_25_0022,0.45060196387099577,0.9973209853468148,0.5774499473129611,0.0
19A006_61925_4150_25_0021,0.29771375090171415,0.9981881292333898,0.0,0.0
19A006_61925_4150_25_0016,0.6420165983868037,0.9980978960236778,0.6499429874572406,0.0
19A006_61925_4150_25_0018,0.49481568109920976,0.9977641488397881,0.49477984566500227,
19A006_61925_4150_25_0019,0.6117471983117588,0.99559216501769,0.6196931858722797,0.0
19A006_61925_4150_25_0011,0.43223636187144526,0.9962334192943147,0.4266012871590561,
19A006_61925_4150_25_0012,0.5140681083087097,0.9975376537961338,0.511368169126446,
19A006_61925_4150_25_0013,0.45358913964708886,0.9929780061265174,0.4591136079900125,
19A006_61925_4150_25_0014,0.6136803723220879,0.996151678413643,0.6173930508134163,
19A006_61925_4150_25_0006,0.6007543246616067,0.9966034143350437,0.5998098859315589,
19A006_61925_4150_25_0007,0.7403124367641053,0.99553744940713,0.7443161944735922,
19F048_71350_7325_25_0024,0.5041099218932771,0.9952082253082372,0.28335170893054024,0.5776031434184676
