img,mcc,f_0,f_1,f_2
18H007_73325_8775_25_0004,0.7916731641690231,0.9957015113118661,0.795492081997474,
18H007_73325_8775_25_0005,0.5828487742362487,0.9858233234525567,0.5682290028310789,
18H007_73325_8775_25_0010,0.7197156200729556,0.9933703263256789,0.716971233715135,0.0
18H007_73325_8775_25_0009,0.7737886555916305,0.9960213038319626,0.7735433800532839,
18H007_73325_8775_25_0015,0.7693686246573788,0.9955459339575141,0.7684645544134788,
18H007_73325_8775_25_0014,0.7714511240077394,0.9937271914224328,0.7759089239809034,
18H007_73325_8775_25_0020,0.7612396560006448,0.992074022707749,0.7654925373134328,0.0
18H007_73325_8775_25_0019,0.7375155029120558,0.9938418239032416,0.7393790849673203,0.0
18H007_73325_8775_25_0018,0.7279120302466793,0.9955566215688826,0.7278386454183267,
18H005_73075_8200_25_0002,0.6304277568764394,0.9973194236055867,0.6545327266363318,0.33881578947368424
18H005_73075_8200_25_0003,0.5336222383251009,0.9954936584144622,0.54177545691906,0.3292533659730722
18H005_73075_8200_25_0008,0.6848191566154307,0.994675389891983,0.6779786056805607,
18H005_73075_8200_25_0004,0.7532346679022465,0.9944028934749521,0.7640740740740741,0.2925531914893617
18H005_73075_8200_25_0009,0.7038470554257718,0.9913498977677754,0.7074583129840228,0.0
18H005_73075_8200_25_0005,0.7415659954181775,0.9913322167772884,0.7437683284457478,0.0
18H005_73075_8200_25_0010,0.7465125173781444,0.9941198855894232,0.7441694854904753,
18H005_73075_8200_25_0015,0.6901052129728797,0.9928454305945356,0.6961133814450917,
18G001_72525_7700_25_0021,0.7157550875405735,0.9988878762451169,0.7011866235167206,
18G001_72500_7700_25_0001,0.619197556736355,0.9970327485450798,0.6051612903225806,0.48232848232848236
18G001_72500_7700_25_0006,0.7047593753911477,0.9993827877952298,0.6863543788187373,
18G001_72500_7700_25_0011,0.7757397988356414,0.997871928025133,0.7765055131467345,
18G001_72500_7700_25_0002,0.7111023278729435,0.9940848678681864,0.7020139745170572,
18G001_72500_7700_25_0007,0.6291758896826911,0.9896249527285881,0.6247391952309985,0.0
18G001_72500_7700_25_0012,0.6783421586215306,0.9910062144488505,0.6771932413487789,
18G001_72525_7700_25_0022,0.7616169440512269,0.995554450846325,0.7621020497165286,
18G001_72525_7700_25_0023,0.7019524417551154,0.9954489909426394,0.6954631893507199,
18G001_72500_7700_25_0003,0.6014839710063917,0.9943982187753878,0.5684407679100983,
18G001_72500_7700_25_0008,0.6127150446242771,0.9883460830233449,0.6097392743826735,
18E023_68925_6125_25_0001,0.6940650934661748,0.9931352175826875,0.6851674641148325,0.6805555555555556
18E023_68925_6125_25_0002,0.5869069870906798,0.9951642143770537,0.5648550724637681,0.0
18E023_68925_6125_25_0003,0.6791904339824831,0.9965413731415692,0.6768649669499528,
18E023_68925_6125_25_0004,0.7154705603803921,0.9978707331567338,0.705750977107761,0.0
18E023_68950_6125_25_0024,0.5852147319426388,0.993652707494758,0.5772491112934099,0.0
18E023_68950_6125_25_0023,0.6202336990487517,0.9963742368939565,0.6142611683848798,
18E023_68950_6125_25_0022,0.6727135250263844,0.9949272595829712,0.6697514542570069,
18E023_68950_6125_25_0021,0.42947889935635714,0.9951505823946549,0.3987372510927635,0.0
18E023_68950_6125_25_0019,0.6531825525495768,0.995996706740057,0.6501679335336751,
18E023_68950_6125_25_0018,0.571424657334023,0.9985836376038197,0.5415584415584416,
18E023_68950_6125_25_0017,0.5364479749781859,0.9982336907433352,0.5072788353863382,
18E023_68950_6125_25_0016,0.1719974817073816,0.9955479266201829,0.12388451443569554,0.0
18E023_68950_6125_25_0011,0.5376874081614739,0.9931198756667593,0.5244706212312439,
18E023_68950_6100_25_0025,0.6470759511231874,0.9923130363710666,0.6393046837276678,0.6036269430051814
18E023_68950_6100_25_0020,0.5052144473209731,0.9926368635921631,0.5256064690026954,0.4352542372881356
18E023_68950_6100_25_0015,0.458662914343906,0.9940067696812103,0.46062524732884846,0.0
18E023_68950_6100_25_0019,0.6747556299775119,0.997486581327335,0.6771938907584779,
18E023_68950_6100_25_0024,0.368770312408666,0.9972346010254268,0.37894736842105264,0.0
18E023_68950_6100_25_0023,0.09398044817179235,0.9976358389964247,0.16251638269986893,0.0
