img,mcc,f_0,f_1,f_2
18H007_73300_8825_25_0063,0.8768211948941741,0.9969618073351237,0.8786240786240787,
18H007_73300_8825_25_0073,0.8790197662012855,0.9969349570811928,0.8811266709102482,
18H007_73300_8825_25_0074,0.8416627781018194,0.9979609210312956,0.8536772608628896,0.0
18H007_73300_8825_25_0093,0.9008160134356528,0.9990815076194495,0.9015790612156608,
18H007_73300_8825_25_0084,0.7011543853455151,0.9958879944848841,0.7969014766400387,0.46957820082120194
18H007_73300_8825_25_0094,0.7062140226051966,0.9955998659857661,0.710891617725574,0.0
18H007_73300_8825_25_0091,0.8844827431653267,0.9989199228804748,0.8853161843515541,
18H007_73300_8825_25_0092,0.8699694296254664,0.9992597867059302,0.8706957132817991,
18H007_73300_8825_25_0065,0.39461020015604187,0.9962141872377253,0.3633524206142634,0.4117647058823529
18H007_73300_8825_25_0075,0.5979998084586409,0.9939813940837002,0.5023214680521778,0.7096546863988724
18H007_73300_8825_25_0076,0.43408592800867685,0.9979486849461631,0.0,0.4052044609665427
18H007_73300_8825_25_0095,0.714037974874691,0.9971210201892248,0.7526612398246713,0.0
18H007_73300_8825_25_0086,0.47074369016615836,0.9926328112794479,0.4586907449209932,0.43853820598006643
18H007_73300_8825_25_0077,0.3229129040170731,0.9951687905074078,0.20575587165067813,
18H007_73300_8825_25_0068,0.36761279586448137,0.9960300062345393,0.28736462093862813,
18H007_73300_8825_25_0078,0.6954270208835804,0.9962602569885057,0.6686973660634294,
18H007_73300_8825_25_0087,0.03766489061789755,0.9972842873761483,0.0,0.07590132827324478
18H007_73300_8825_25_0097,0.510166151441426,0.9979715372534212,0.0,0.42616249361267244
18H007_73300_8825_25_0099,0.5688473494408884,0.9969372529514934,,0.5509300265721878
18H007_73300_8825_25_0100,0.7190581103428101,0.9992380952380953,,0.696
18H007_73325_8825_25_0001,0.8613388098766905,0.9978035999829327,0.8619588813689184,
18H007_73325_8825_25_0011,0.8796341837811128,0.997312729563247,0.8808487486398259,
18H007_73325_8825_25_0002,0.9052368720328073,0.9990076939089383,0.9054496437512035,
18H007_73325_8825_25_0012,0.8076331719003614,0.9979779025187246,0.8090925891702089,0.0
18H005_73075_8175_25_0081,0.6414100827877363,0.9980231048360227,0.45391849529780565,0.4842964824120603
18H005_73075_8175_25_0091,0.755291638092491,0.9986506243124921,0.7544822539334065,
18H005_73075_8175_25_0082,0.6584802526991841,0.9995915556125065,,0.625
18H005_73075_8150_25_0089,0.6962962830762544,0.9974628400863199,0.6983213429256595,
18H005_73075_8150_25_0099,0.8262876592814633,0.9998238259400287,0.8218623481781376,
18H005_73075_8150_25_0100,0.9048884435649451,0.9993495600972236,0.9053618517433343,
18H005_73075_8150_25_0069,0.8907046190570665,0.9981382951666887,0.8925425719318849,
18H005_73075_8150_25_0079,0.9014550745653377,0.9988894934755214,0.9025039957378796,
18H005_73075_8150_25_0070,0.8767339702868614,0.9982776773596733,0.8854214471470093,0.7709923664122137
18H005_73075_8150_25_0080,0.7106915069764692,0.9980058334407632,0.8456057007125891,0.6369003690036901
18H005_73075_8175_25_0061,0.8339258325010243,0.9954335834136894,0.8369668942230052,
18H005_73075_8175_25_0071,0.8417031457902436,0.9997174965789036,0.8417508417508418,
18H005_73075_8175_25_0062,0.8669763389532781,0.9961015251855484,0.8692150170648464,0.0
18H005_73075_8150_25_0067,0.8713986840317783,0.9998398084108594,0.8662207357859532,
18H005_73075_8150_25_0077,0.7978607191924617,0.9961095682599493,0.7905113336847654,0.0
18H005_73075_8150_25_0068,0.8816997867083678,0.9983038674257333,0.8826093069028539,0.0
18H005_73075_8150_25_0078,0.8933837236196207,0.9996589126134116,0.8933500627352572,
18H005_73075_8150_25_0047,0.9188980038187163,0.9990140283320073,0.919782572887498,
18H005_73075_8150_25_0048,0.9059487196923852,0.9971012100642686,0.9082598759386222,
18H005_73075_8150_25_0058,0.8703809208291547,0.9995665592429235,0.8700361010830325,
18H005_73075_8150_25_0049,0.78731261162349,0.9945994248951141,0.782033253370833,
18H005_73075_8150_25_0059,0.9039221808545338,0.9971242627702317,0.9064198027772188,
18H005_73075_8150_25_0050,0.7172212627602744,0.993710357353973,0.7229979281145843,
18H005_73075_8150_25_0060,0.8178631832951083,0.9961924060561987,0.821660926138538,
18H005_73075_8175_25_0041,0.7504752387531548,0.9981605091742842,0.7510226343059722,
18H005_73075_8175_25_0051,0.8356131438784594,0.9936751642564626,0.8415898317445434,
18H005_73075_8175_25_0052,0.8325519847837289,0.996547774835708,0.8337429947891063,
18G001_72500_7725_25_0089,0.7928160051291563,0.9966417178716171,0.6796925048046124,0.7788068646145464
18G001_72500_7725_25_0099,0.8585901700848994,0.9990395554168471,0.8578241430700447,
18G001_72500_7725_25_0090,0.7828316604373757,0.9979418174620327,0.8181370133070478,0.7334725121781489
18G001_72500_7725_25_0100,0.7609489257182869,0.9978733020718153,0.8918308040038747,0.38799076212471134
18G001_72500_7725_25_0069,0.8006999023380069,0.9973351017950429,0.7668024439918534,0.7459964412811388
