img,mcc,f_0,f_1,f_2
18H007_73300_8775_25_0007,0.6610678606535351,0.9927744986147209,0.6532771627314587,
18H007_73300_8775_25_0006,0.775086322128888,0.9973388701024586,0.77517524363139,
18H007_73300_8775_25_0001,0.799572802557998,0.9974711940863601,0.7949433590543424,
18H007_73300_8775_25_0002,0.8578679929963525,0.9992400085247721,0.856054836252856,
18H007_73325_8775_25_0021,0.7815925987692698,0.9988540502287878,0.7804314329738059,
18H007_73325_8775_25_0022,0.7488721841626137,0.994268163256125,0.744533527696793,0.0
18H007_73325_8775_25_0016,0.3738113564532358,0.9990104721690289,0.0,0.3988355167394469
18H007_73325_8775_25_0017,0.5846027475172516,0.9957184172685117,0.5784159748709895,0.0
18H007_73325_8775_25_0023,0.7179123575699414,0.9877178402442233,0.7222961414179814,0.0
18H005_73075_8175_25_0013,0.799211733883371,0.9988777738895391,0.798846431146359,
18H005_73075_8175_25_0014,0.0009270779711824334,0.997941764150622,0.0,0.003552397868561279
18H005_73075_8175_25_0018,0.747200298028453,0.9955907029154436,0.7530954115076475,0.0
18H005_73075_8175_25_0019,0.6903958052773188,0.9963548978279075,0.7559236254888428,0.42602633617350893
18H005_73075_8175_25_0017,0.6930949179108542,0.9960123842034234,0.691814055407732,0.3811965811965812
18H005_73050_8150_25_0004,0.21139757215794727,0.998515312716016,,0.18121546961325966
18H005_73050_8150_25_0003,0.12690274617257022,0.9901520519932782,0.0,0.12343297974927676
18G001_72550_7700_25_0001,0.7365388946648338,0.9969779108342098,0.7351063829787234,
18G001_72550_7700_25_0002,0.424801380472916,0.993024145321199,0.48281417830290013,0.2902473168455436
18G001_72550_7700_25_0003,0.6467226333959231,0.9910623665967485,0.6452348010091967,
18G001_72550_7700_25_0004,0.6563463373181956,0.9908775789566577,0.6510715126776042,
18G001_72550_7700_25_0007,0.6328892067715111,0.9934279063710649,0.6715492957746478,0.3711484593837535
18G001_72550_7700_25_0008,0.6227522883680835,0.9871844981439547,0.6322803553800592,0.0
18G001_72550_7700_25_0005,0.49082361016758513,0.9937624553630138,0.46242371403661725,
18G001_72550_7700_25_0009,0.7093990657166229,0.9861266901347915,0.7128162840154507,
18G001_72550_7700_25_0010,0.6249633475852379,0.989612081631982,0.6221125812962548,
18G001_72550_7700_25_0012,0.7120311291233323,0.9963414016865592,0.7035274815422478,
18G001_72550_7700_25_0013,0.6272805694132251,0.9964722929692073,0.6110369381397419,
18E023_68925_6150_25_0013,0.4295437932533107,0.9981318912845003,0.0,0.55
18E023_68925_6150_25_0008,0.3057034821124536,0.9979318659143018,0.4312977099236641,0.0
18E023_68925_6150_25_0007,0.7060186549814539,0.995312490475639,0.7744737721349816,0.6522277227722773
