img,mcc,f_0,f_1,f_2
18H007_73325_8775_25_0007,0.921821250651197,0.9972322256016022,0.9244182754911396,
18H007_73325_8775_25_0017,0.9086894546082429,0.9970938458519658,0.9112582781456954,
18H007_73325_8775_25_0018,0.9167086905236581,0.9997109989001902,0.9168591224018475,
18H007_73325_8775_25_0009,0.42836830044140245,0.9917032540668238,0.3634385201305767,
18H007_73325_8775_25_0019,0.7713905127531197,0.9951150830763312,0.7656967840735069,0.0
18H007_73325_8775_25_0010,0.7778917470260212,0.9902397778636074,0.7775398524863193,
18H007_73325_8775_25_0020,0.7872683904011605,0.9948380888028912,0.7829530779164873,
18H007_73325_8775_25_0029,0.8019779267534215,0.9960495256576989,0.7943984723106302,
18H007_73325_8775_25_0039,0.862655280944504,0.9967853559655193,0.8647717484926787,
18H007_73325_8775_25_0030,0.874267223322602,0.9994959849478214,0.8744372186093047,
18H007_73325_8775_25_0040,0.8664202691865176,0.997266058080442,0.8768366038852184,0.0
18H007_73325_8775_25_0027,0.889779389969481,0.9969670986751876,0.8920758030291944,
18H007_73325_8775_25_0037,0.836874591258743,0.9968886605336987,0.8399748322147651,
18H007_73325_8775_25_0028,0.8302984044918447,0.9991458093406251,0.8267427639624949,
18H007_73325_8775_25_0038,0.8982707766623342,0.9995358845618328,0.8986397542781922,
18H007_73325_8775_25_0049,0.9057144379112302,0.9982703015461345,0.9073447560842519,
18H007_73325_8775_25_0059,0.9247522505389725,0.9990459426228678,0.9254628896977369,
18H007_73325_8775_25_0050,0.8518034906573282,0.9978201922452425,0.8507073204230188,0.0
18H007_73325_8775_25_0060,0.930959581819723,0.9989233288235031,0.9315422371480238,
18H007_73325_8775_25_0047,0.8014092831132696,0.996455395189843,0.8028535839655758,
18H007_73325_8775_25_0057,0.7990333288810678,0.9968320670406955,0.8021824641542952,
18H007_73325_8775_25_0048,0.9157730412702794,0.9977436007036349,0.9179617453676031,
18H007_73325_8775_25_0058,0.909809483336727,0.9973036042647581,0.9122618728199624,
18H007_73325_8775_25_0069,0.910548619616725,0.9981790567023778,0.9120662460567823,
